method,query,k,ndcg,precision,recall,f1,overlap
Istari BM25,remote monitoring and management (RMM) software,100,0.499,0.23,0.377,0.2857,29
Istari BM25,remote monitoring and management (RMM) software,500,0.2477,0.074,0.6066,0.1319,81
Istari BM25,remote monitoring and management (RMM) software,1000,0.2317,0.074,1.2131,0.1395,97
Istari BM25,data center providers,10,0.0628,0.1,0.0025,0.0048,0
Istari BM25,data center providers,50,0.1391,0.12,0.0149,0.0265,0
Istari BM25,data center providers,100,0.1391,0.1,0.0248,0.0398,0
Istari BM25,data center providers,500,0.1083,0.05,0.062,0.0554,31
Istari BM25,data center providers,1000,0.1092,0.05,0.1241,0.0713,54
Istari BM25,web hosting companies,10,0.5207,0.7,0.007,0.0139,0
Istari BM25,web hosting companies,50,0.4349,0.44,0.022,0.0419,0
Istari BM25,web hosting companies,100,0.2915,0.25,0.025,0.0455,0
Istari BM25,web hosting companies,500,0.1757,0.144,0.072,0.096,23
Istari BM25,web hosting companies,1000,0.1637,0.144,0.144,0.144,72
Istari BM25,domain name registrars,10,0.485,0.1,0.0118,0.0211,0
Istari BM25,domain name registrars,50,0.5127,0.02,0.0118,0.0148,0
