method,query,k,ndcg,precision,recall,f1,overlap
MiniLM Reranked,supply chain management companies,30,0.947,0.8333,0.0572,0.1071,3
MiniLM Reranked,supply chain management companies,44,0.9237,0.7045,0.0709,0.1289,5
MiniLM Reranked,solar panel manufacturers,10,0.7803,0.8,0.008,0.0158,1
MiniLM Reranked,solar panel manufacturers,30,0.8534,0.9,0.027,0.0524,3
MiniLM Reranked,solar panel manufacturers,44,0.8672,0.9091,0.04,0.0766,4
MiniLM Reranked,agricultural technology companies,10,0.901,0.7,0.0084,0.0166,2
MiniLM Reranked,agricultural technology companies,30,0.8417,0.7333,0.0264,0.0509,7
MiniLM Reranked,agricultural technology companies,44,0.8407,0.75,0.0396,0.0752,8
MiniLM Reranked,electric vehicle manufacturers,10,0.9738,1.0,0.01,0.0198,1
MiniLM Reranked,electric vehicle manufacturers,30,0.925,0.9333,0.028,0.0544,3
MiniLM Reranked,electric vehicle manufacturers,44,0.9378,0.9545,0.042,0.0805,6
MiniLM Reranked,biotech companies,10,0.9721,0.9,0.0215,0.0421,1
MiniLM Reranked,biotech companies,30,0.9436,0.6667,0.0478,0.0893,4
MiniLM Reranked,biotech companies,44,0.9522,0.75,0.0789,0.1429,7
MiniLM Reranked,digital transformation consultants,10,0.9709,1.0,0.01,0.0198,1
MiniLM Reranked,digital transformation consultants,30,0.8247,0.8,0.024,0.0466,5
