tier,M,ef_construction,ef_search,query_id,k,query_latency_ms,index_build_s,precision,recall,ndcg
100k,16,40,50,27,1000,0.309381983242929,16.684499502182007,0.006,0.18181818181818182,0.07746190376788996
100k,16,40,50,66,10,0.28906299849040806,16.684499502182007,0.1,0.01818181818181818,0.06625422345438903
100k,16,40,50,66,50,0.28906299849040806,16.684499502182007,0.02,0.01818181818181818,0.02333976076433925
100k,16,40,50,66,100,0.28906299849040806,16.684499502182007,0.01,0.01818181818181818,0.021866577706041675
100k,16,40,50,66,300,0.28906299849040806,16.684499502182007,0.013333333333333334,0.07272727272727272,0.049477205616286955
100k,16,40,50,66,500,0.28906299849040806,16.684499502182007,0.016,0.14545454545454545,0.08322595910236263
100k,16,40,50,66,1000,0.28906299849040806,16.684499502182007,0.008,0.14545454545454545,0.08322595910236263
100k,16,40,50,72,10,0.3128930111415684,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,72,50,0.3128930111415684,16.684499502182007,0.02,0.02702702702702703,0.01867164811791742
100k,16,40,50,72,100,0.3128930111415684,16.684499502182007,0.02,0.05405405405405406,0.03369733562322575
100k,16,40,50,72,300,0.3128930111415684,16.684499502182007,0.016666666666666666,0.13513513513513514,0.07082740988789128
100k,16,40,50,72,500,0.3128930111415684,16.684499502182007,0.012,0.16216216216216217,0.08213471606997419
100k,16,40,50,72,1000,0.3128930111415684,16.684499502182007,0.006,0.16216216216216217,0.08213471606997419
100k,16,40,50,99,10,0.30493902158923447,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,99,50,0.30493902158923447,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,99,100,0.30493902158923447,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,99,300,0.30493902158923447,16.684499502182007,0.006666666666666667,0.09523809523809523,0.03713661909704919
100k,16,40,50,99,500,0.30493902158923447,16.684499502182007,0.004,0.09523809523809523,0.03713661909704919
100k,16,40,50,99,1000,0.30493902158923447,16.684499502182007,0.002,0.09523809523809523,0.03713661909704919
100k,16,40,50,101,10,0.3026519843842834,16.684499502182007,0.1,0.023255813953488372,0.22009176629808017
100k,16,40,50,101,50,0.3026519843842834,16.684499502182007,0.08,0.09302325581395349,0.14429839711959375
100k,16,40,50,101,100,0.3026519843842834,16.684499502182007,0.07,0.16279069767441862,0.18576724362348981
100k,16,40,50,101,300,0.3026519843842834,16.684499502182007,0.05,0.3488372093023256,0.27868457202998237
100k,16,40,50,101,500,0.3026519843842834,16.684499502182007,0.03,0.3488372093023256,0.27868457202998237
100k,16,40,50,101,1000,0.3026519843842834,16.684499502182007,0.015,0.3488372093023256,0.27868457202998237
100k,16,40,50,56,10,0.30784698901697993,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,56,50,0.30784698901697993,16.684499502182007,0.0,0.0,0.0
100k,16,40,50,56,100,0.30784698901697993,16.684499502182007,0.03,0.058823529411764705,0.037862896573874164
100k,16,40,50,56,300,0.30784698901697993,16.684499502182007,0.04,0.23529411764705882,0.12680649032885918
100k,16,40,50,56,500,0.30784698901697993,16.684499502182007,0.036,0.35294117647058826,0.18161220452291288
