tier,M,ef_construction,ef_search,k,recall,ndcg,query_latency_ms
100k,32,200,500,500,0.45637386415763087,0.2941940548244039,2.1113028418958972
100k,32,200,500,1000,0.7532878082953085,0.41129998520179845,2.1113028418958972
100k,32,200,1000,10,0.04533308303416984,0.22555644115396808,3.35124020899744
100k,32,200,1000,50,0.13082788478455723,0.16717364731703352,3.35124020899744
100k,32,200,1000,100,0.17013217236177722,0.15838083924948715,3.35124020899744
100k,32,200,1000,300,0.32502617596213723,0.23766715709315922,3.35124020899744
100k,32,200,1000,500,0.4552296993979055,0.2936863958201172,3.35124020899744
100k,32,200,1000,1000,0.7496604268108803,0.4097641645860116,3.35124020899744
200k,16,40,10,10,0.0399904353229394,0.1950928345929341,0.19738084550848917
200k,16,40,10,50,0.10184146023990931,0.1310989927725997,0.19738084550848917
200k,16,40,10,100,0.14056164722706505,0.1294783361785879,0.19738084550848917
200k,16,40,10,300,0.1919676528047638,0.15766610205853135,0.19738084550848917
200k,16,40,10,500,0.1919676528047638,0.15766610205853135,0.19738084550848917
200k,16,40,10,1000,0.1919676528047638,0.15766610205853135,0.19738084550848917
200k,16,40,50,10,0.04448418659953486,0.22185298658228927,0.3441571561301029
200k,16,40,50,50,0.11299731459265323,0.15164475847939315,0.3441571561301029
200k,16,40,50,100,0.16158104681485444,0.1500242172872586,0.3441571561301029
200k,16,40,50,300,0.2794978880747456,0.21120403832083792,0.3441571561301029
200k,16,40,50,500,0.3450808677389869,0.2408419275445599,0.3441571561301029
200k,16,40,50,1000,0.35145233368455253,0.24365897471944525,0.3441571561301029
200k,16,40,100,10,0.04448418659953486,0.22185298658228927,0.48896715835374044
200k,16,40,100,50,0.1252560513365923,0.16100805057931206,0.48896715835374044
200k,16,40,100,100,0.16860198929717793,0.15551409977394867,0.48896715835374044
200k,16,40,100,300,0.3010637773510843,0.22343747450910628,0.48896715835374044
200k,16,40,100,500,0.4077443855183959,0.2697060493128466,0.48896715835374044
200k,16,40,100,1000,0.49439954106385864,0.3060536384290571,0.48896715835374044
200k,16,40,200,10,0.04448418659953486,0.22185298658228927,0.7364156266894976
200k,16,40,200,50,0.12650200158340363,0.16172978832423998,0.7364156266894976
200k,16,40,200,100,0.17121017320227858,0.15714291737747343,0.7364156266894976
200k,16,40,200,300,0.3096046090069118,0.2277962115376387,0.7364156266894976
200k,16,40,200,500,0.4355880992923352,0.2824836191860049,0.7364156266894976
200k,16,40,200,1000,0.6412910724243976,0.36500182619980365,0.7364156266894976
200k,16,40,500,10,0.04448418659953486,0.22185298658228927,1.2725717954852276
200k,16,40,500,50,0.12938592371750604,0.1652220569739761,1.2725717954852276
200k,16,40,500,100,0.16930940634116565,0.15731916285917066,1.2725717954852276
200k,16,40,500,300,0.3131490791120742,0.2309850350415472,1.2725717954852276
200k,16,40,500,500,0.4329669034269231,0.28398591520083016,1.2725717954852276
200k,16,40,500,1000,0.6843609239054077,0.383065903896218,1.2725717954852276
200k,16,40,1000,10,0.04448418659953486,0.22185298658228927,2.059921841320925
