method,query,k,ndcg,precision,recall,overlap
Istari BM25,translation services,10,0.0,0.0,0.0,0
Istari BM25,translation services,50,0.0359,0.04,0.002,0
Istari BM25,translation services,100,0.0595,0.07,0.007,0
Istari BM25,translation services,500,0.0439,0.044,0.022,9
Istari BM25,translation services,1000,0.0442,0.044,0.044,22
Istari BM25,legal technology companies,10,0.2079,0.1,0.001,0
Istari BM25,legal technology companies,50,0.0741,0.02,0.001,0
Istari BM25,legal technology companies,100,0.046,0.01,0.001,0
Istari BM25,legal technology companies,500,0.0188,0.008,0.004,1
Istari BM25,legal technology companies,1000,0.0143,0.008,0.008,4
Istari BM25,accounting software providers,10,0.0797,0.1,0.001,0
Istari BM25,accounting software providers,50,0.0429,0.04,0.002,0
Istari BM25,accounting software providers,100,0.041,0.04,0.004,0
Istari BM25,accounting software providers,500,0.0483,0.05,0.025,13
Istari BM25,accounting software providers,1000,0.0491,0.05,0.05,25
Istari BM25,tax preparation services,10,0.0,0.0,0.0,0
Istari BM25,tax preparation services,50,0.0201,0.02,0.001,0
