query_id,k,precision,recall,f1,ndcg
23,100,1.0,0.1,0.18181818181818182,1.0
23,300,0.9766666666666667,0.293,0.45076923076923076,0.9807102845569294
23,500,0.982,0.491,0.6546666666666667,0.9838085779945305
23,1000,0.88,0.88,0.88,0.8973510712281512
24,10,1.0,0.01,0.019801980198019802,1.0
24,50,1.0,0.05,0.09523809523809523,1.0
24,100,1.0,0.1,0.18181818181818182,1.0
24,300,1.0,0.3,0.4615384615384615,1.0
24,500,0.994,0.497,0.6626666666666666,0.9951579472632683
24,1000,0.933,0.933,0.933,0.9438833962350592
25,10,1.0,0.01,0.019801980198019802,1.0
25,50,0.82,0.041,0.07809523809523809,0.8569657034103926
25,100,0.81,0.081,0.14727272727272728,0.8361339318002234
25,300,0.66,0.198,0.3046153846153846,0.7003797292906252
25,500,0.582,0.291,0.38799999999999996,0.6232289593296503
25,1000,0.525,0.525,0.525,0.5561966317787849
26,10,1.0,0.01,0.019801980198019802,1.0
26,50,1.0,0.05,0.09523809523809523,1.0
26,100,1.0,0.1,0.18181818181818182,1.0
26,300,1.0,0.3,0.4615384615384615,1.0
26,500,1.0,0.5,0.6666666666666666,1.0
26,1000,0.971,0.971,0.971,0.975992568943055
27,10,1.0,0.01,0.019801980198019802,1.0
27,50,0.92,0.046,0.08761904761904762,0.9362311341358992
27,100,0.94,0.094,0.1709090909090909,0.9453064812584794
27,300,0.9633333333333334,0.289,0.44461538461538463,0.9613988975036775
27,500,0.96,0.48,0.64,0.9593595356534258
27,1000,0.837,0.837,0.8370000000000001,0.8564112160133195
28,10,1.0,0.01,0.019801980198019802,1.0
28,50,0.98,0.049,0.09333333333333334,0.9851168632159072
28,100,0.97,0.097,0.1763636363636364,0.9756795872157706
28,300,0.9733333333333334,0.292,0.44923076923076916,0.9758119314166823
28,500,0.96,0.48,0.64,0.9639991240326227
28,1000,0.876,0.876,0.8759999999999999,0.891949112535456
29,10,1.0,0.01,0.019801980198019802,1.0
29,50,0.86,0.043,0.0819047619047619,0.8791283884423376
29,100,0.9,0.09,0.16363636363636364,0.9015254819082147
29,300,0.95,0.285,0.4384615384615385,0.9426120118470841
29,500,0.96,0.48,0.64,0.9532553691578737
29,1000,0.867,0.867,0.867,0.8784590535229954
30,10,1.0,0.01,0.019801980198019802,1.0
30,50,1.0,0.05,0.09523809523809523,1.0
30,100,1.0,0.1,0.18181818181818182,1.0
30,300,1.0,0.3,0.4615384615384615,1.0
30,500,0.996,0.498,0.664,0.9967624049610132
30,1000,0.946,0.946,0.946,0.9550797754567804
31,10,1.0,0.01,0.019801980198019802,1.0
31,50,1.0,0.05,0.09523809523809523,1.0
31,100,0.98,0.098,0.17818181818181816,0.9848061386469615
31,300,0.9366666666666666,0.281,0.43230769230769234,0.9459597000249207
31,500,0.864,0.432,0.576,0.8836980339044502
31,1000,0.732,0.732,0.732,0.7635336918974261
32,10,1.0,0.01,0.019801980198019802,1.0
32,50,1.0,0.05,0.09523809523809523,1.0
32,100,1.0,0.1,0.18181818181818182,1.0
32,300,0.9933333333333333,0.298,0.4584615384615384,0.9944355995140974
32,500,0.988,0.494,0.6586666666666667,0.9896212593170624
32,1000,0.903,0.903,0.903,0.9178449220966612
33,10,1.0,0.01,0.019801980198019802,1.0
33,50,1.0,0.05,0.09523809523809523,1.0
33,100,0.99,0.099,0.18,0.9922340671359725
33,300,0.9666666666666667,0.29,0.4461538461538462,0.9725287640777285
33,500,0.904,0.452,0.6026666666666667,0.9193568427700336
33,1000,0.704,0.704,0.704,0.7432433780079309
34,10,1.0,0.01,0.019801980198019802,1.0
34,50,1.0,0.05,0.09523809523809523,1.0
34,100,1.0,0.1,0.18181818181818182,1.0
34,300,0.9566666666666667,0.287,0.4415384615384615,0.9648234901219666
34,500,0.9,0.45,0.6,0.9156770527288035
34,1000,0.77,0.77,0.7699999999999999,0.7997626056765818
35,10,1.0,0.01,0.019801980198019802,1.0
35,50,0.98,0.049,0.09333333333333334,0.9840400760956514
35,100,0.99,0.099,0.18,0.9901690592637724
35,300,0.99,0.297,0.4569230769230769,0.9902803672510007
